,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
20,2014-10-06,195.01736129695132,-2056.024882315503,1844.803283754908,195.01736129695132,195.01736129695132,-327.33364791330087,-327.33364791330087,-327.33364791330087,-16.764356812144126,-16.764356812144126,-16.764356812144126,-310.56929110115675,-310.56929110115675,-310.56929110115675,0.0,0.0,0.0,-132.31628661634954
21,2014-10-07,195.42781341557875,-1890.9110746972558,1907.7125341654244,195.42781341557875,195.42781341557875,-317.9142161569595,-317.9142161569595,-317.9142161569595,-5.129101086954174,-5.129101086954174,-5.129101086954174,-312.78511507000536,-312.78511507000536,-312.78511507000536,0.0,0.0,0.0,-122.48640274138077
22,2014-10-08,195.8382655342062,-2079.3717019022292,1721.8150177001155,195.8382655342062,195.8382655342062,-313.65191590118667,-313.65191590118667,-313.65191590118667,-1.9526767923256148,-1.9526767923256148,-1.9526767923256148,-311.69923910886104,-311.69923910886104,-311.69923910886104,0.0,0.0,0.0,-117.81365036698048
23,2014-10-09,196.24871765283368,-2074.1187376050966,1727.7703508617778,196.24871765283368,196.24871765283368,-309.1413477690076,-309.1413477690076,-309.1413477690076,-2.1668414166310845,-2.1668414166310845,-2.1668414166310845,-306.9745063523766,-306.9745063523766,-306.9745063523766,0.0,0.0,0.0,-112.89263011617393
24,2014-10-10,196.6591697714611,-2025.252710056784,1888.9101384783635,196.6591697714611,196.6591697714611,-286.0036359274274,-286.0036359274274,-286.0036359274274,12.319763637878552,12.319763637878552,12.319763637878552,-298.323399565306,-298.323399565306,-298.323399565306,0.0,0.0,0.0,-89.3444661559663
25,2014-10-11,197.06962189008854,-1865.7079095871604,1918.844553207055,197.06962189008854,197.06962189008854,-273.6770189644361,-273.6770189644361,-273.6770189644361,11.842181351965294,11.842181351965294,11.842181351965294,-285.51920031640145,-285.51920031640145,-285.51920031640145,0.0,0.0,0.0,-76.60739707434757
26,2014-10-12,197.48007400871603,-2011.2159683274517,1840.686594013619,197.48007400871603,197.48007400871603,-266.55492458497656,-266.55492458497656,-266.55492458497656,1.8510311181665875,1.8510311181665875,1.8510311181665875,-268.40595570314315,-268.40595570314315,-268.40595570314315,0.0,0.0,0.0,-69.07485057626053
27,2014-10-13,197.89052612734346,-2062.378294113785,1924.385372703801,197.89052612734346,197.89052612734346,-263.67127193978126,-263.67127193978126,-263.67127193978126,-16.7643568121419,-16.7643568121419,-16.7643568121419,-246.90691512763934,-246.90691512763934,-246.90691512763934,0.0,0.0,0.0,-65.7807458124378
28,2014-10-14,198.3009782459709,-1934.3911597840122,1911.6126353861366,198.3009782459709,198.3009782459709,-226.16023392401232,-226.16023392401232,-226.16023392401232,-5.129101086951468,-5.129101086951468,-5.129101086951468,-221.03113283706085,-221.03113283706085,-221.03113283706085,0.0,0.0,0.0,-27.85925567804142
29,2014-10-15,198.71143036459839,-1981.9326463438945,1852.1962804379177,198.71143036459839,198.71143036459839,-192.8306518190344,-192.8306518190344,-192.8306518190344,-1.9526767923200858,-1.9526767923200858,-1.9526767923200858,-190.87797502671432,-190.87797502671432,-190.87797502671432,0.0,0.0,0.0,5.880778545563999
30,2014-10-16,199.12188248322582,-1953.500372584786,1911.437516603968,199.12188248322582,199.12188248322582,-158.8061636620628,-158.8061636620628,-158.8061636620628,-2.166841416609574,-2.166841416609574,-2.166841416609574,-156.63932224545323,-156.63932224545323,-156.63932224545323,0.0,0.0,0.0,40.31571882116302
